COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,DateTime,
114,0,441,4595.897436,4057.435897,3861.025641,4344.615385,4466.153846,4368.717949,4313.333333,4438.974359,4560,4115.384615,4273.333333,4213.333333,3882.051282,4152.307692,1663,1693,11.19,11.1580267,0,0,0,0,2/8/15 6:13
115,0,436,4602.564103,4062.564103,3866.666667,4355.384615,4466.153846,4369.74359,4313.846154,4440,4563.076923,4126.153846,4280,4202.051282,3894.871795,4190.25641,1664,1692,11.196,11.1580267,0,0,0,0,2/8/15 6:13
116,0,386,4590.25641,4047.692308,3874.871795,4344.615385,4450.769231,4370.25641,4314.358974,4444.102564,4571.794872,4120.512821,4277.435897,4191.794872,3892.307692,4196.410256,1664,1693,11.204,11.1580267,0,0,0,0,2/8/15 6:13
117,0,463,4578.461538,4050.769231,3870.25641,4343.589744,4445.128205,4366.666667,4313.333333,4446.153846,4569.74359,4100,4278.461538,4190.25641,3879.487179,4159.487179,1665,1692,11.212,11.1580267,0,0,0,0,2/8/15 6:13
118,0,441,4586.153846,4060,3859.487179,4346.153846,4455.384615,4384.102564,4311.794872,4444.615385,4559.487179,4092.820513,4278.461538,4188.717949,3874.871795,4135.897436,1664,1693,11.22,11.1580267,0,0,0,0,2/8/15 6:13
119,0,436,4594.871795,4049.230769,3858.974359,4331.282051,4463.076923,4395.897436,4313.846154,4444.615385,4552.307692,4101.538462,4265.641026,4178.974359,3880,4150.25641,1664,1693,11.227,11.1580267,0,0,0,0,2/8/15 6:13
120,0,386,4582.564103,4034.358974,3864.102564,4324.102564,4455.384615,4375.384615,4314.358974,4443.076923,4558.974359,4107.692308,4264.102564,4166.153846,3880.512821,4159.487179,1664,1693,11.235,11.1580267,0,0,0,0,2/8/15 6:13
121,0,463,4570.769231,4034.358974,3861.538462,4332.307692,4443.589744,4353.333333,4312.820513,4436.923077,4554.358974,4103.589744,4274.871795,4169.74359,3875.897436,4150.25641,1664,1692,11.243,11.1580267,0,0,0,0,2/8/15 6:13
122,0,441,4577.435897,4041.025641,3860.512821,4340.512821,4438.974359,4353.846154,4314.871795,4436.923077,4535.897436,4102.051282,4273.333333,4189.230769,3875.384615,4174.871795,1664,1693,11.251,11.1580267,0,0,0,0,2/8/15 6:13
123,0,436,4586.666667,4047.692308,3862.564103,4344.615385,4443.589744,4366.666667,4319.487179,4442.051282,4545.641026,4105.641026,4267.692308,4191.282051,3880,4182.564103,1664,1693,11.26,11.1580267,0,0,0,0,2/8/15 6:13
124,0,386,4588.205128,4045.641026,3863.589744,4337.948718,4456.410256,4378.974359,4322.051282,4441.025641,4570.769231,4103.076923,4267.692308,4175.384615,3881.025641,4117.948718,1664,1695,11.267,11.1580267,0,0,0,0,2/8/15 6:13
125,0,463,4583.076923,4033.846154,3866.666667,4331.794872,4457.435897,4382.564103,4321.538462,4438.461538,4571.794872,4101.025641,4267.692308,4162.051282,3879.487179,4109.74359,1664,1694,11.275,11.1580267,0,0,0,0,2/8/15 6:13
126,0,441,4584.615385,4037.948718,3868.205128,4345.641026,4456.410256,4382.564103,4321.025641,4442.564103,4564.615385,4106.153846,4270.769231,4148.717949,3887.692308,4184.615385,1664,1694,11.284,11.28313446,0,0,0,0,2/8/15 6:13
127,0,436,4580,4054.358974,3857.948718,4349.74359,4462.564103,4382.564103,4321.025641,4444.102564,4567.692308,4109.230769,4275.897436,4135.384615,3893.333333,4202.051282,1665,1693,11.29,11.28313446,0,0,0,0,2/8/15 6:13
128,0,386,4570.769231,4048.717949,3851.282051,4337.435897,4453.333333,4378.461538,4322.564103,4440.512821,4568.717949,4108.717949,4278.461538,4132.820513,3892.820513,4149.230769,1664,1693,11.298,11.28313446,0,0,0,0,2/8/15 6:13
0,0,389,4577.948718,4032.820513,3861.538462,4337.948718,4440,4367.692308,4319.487179,4440.512821,4569.74359,4107.692308,4277.948718,4140,3894.871795,4129.74359,1665,1693,11.306,11.28313446,0,0,0,0,2/8/15 6:13
1,0,430,4584.615385,4035.384615,3865.641026,4340.512821,4446.666667,4357.948718,4313.846154,4442.564103,4569.74359,4100,4269.230769,4142.051282,3890.25641,4145.128205,1665,1691,11.313,11.28313446,0,0,0,0,2/8/15 6:13
2,0,426,4569.230769,4036.923077,3857.948718,4330.769231,4449.230769,4365.128205,4311.794872,4443.076923,4559.487179,4092.820513,4263.076923,4136.410256,3883.589744,4153.333333,1664,1692,11.323,11.28313446,0,0,0,0,2/8/15 6:13
3,0,496,4563.076923,4028.717949,3861.025641,4329.74359,4431.794872,4377.948718,4313.333333,4440.512821,4557.435897,4097.948718,4269.230769,4137.948718,3889.74359,4161.025641,1665,1690,11.33,11.28313446,0,0,0,0,2/8/15 6:13
4,0,479,4575.384615,4027.692308,3868.205128,4336.923077,4424.615385,4375.384615,4313.846154,4441.025641,4563.076923,4105.128205,4269.230769,4146.153846,3893.333333,4151.794872,1665,1692,11.339,11.28313446,0,0,0,0,2/8/15 6:13
5,0,454,4570.25641,4030.769231,3865.128205,4335.897436,4434.358974,4380,4314.358974,4443.076923,4566.666667,4107.692308,4263.076923,4133.333333,3890.25641,4152.820513,1664,1691,11.346,11.28313446,0,0,0,0,2/8/15 6:13
6,0,454,4568.717949,4028.717949,3862.564103,4332.307692,4440.512821,4396.410256,4313.846154,4438.461538,4567.692308,4106.153846,4265.641026,4095.897436,3892.307692,4174.358974,1664,1691,11.352,11.28313446,0,0,0,0,2/8/15 6:13
7,0,0,4583.076923,4029.230769,3859.487179,4334.358974,4443.076923,4392.820513,4312.307692,4431.282051,4563.589744,4101.538462,4267.692308,4074.871795,3888.717949,4166.153846,1665,1691,11.36,11.28313446,0,0,0,0,2/8/15 6:13
8,0,408,4583.076923,4033.846154,3855.384615,4337.948718,4454.358974,4374.358974,4313.333333,4427.692308,4557.435897,4107.692308,4265.128205,4075.384615,3879.487179,4145.641026,1664,1692,11.368,11.28313446,0,0,0,0,2/8/15 6:13
9,0,426,4568.717949,4029.230769,3861.025641,4332.820513,4465.641026,4364.615385,4314.358974,4425.641026,4560.512821,4119.487179,4266.153846,4063.589744,3882.051282,4165.128205,1666,1692,11.376,11.28313446,0,0,0,0,2/8/15 6:13
10,0,441,4563.076923,4020,3868.205128,4324.102564,4448.205128,4369.74359,4313.333333,4428.205128,4568.205128,4111.794872,4263.589744,4040.512821,3885.128205,4188.717949,1664,1692,11.384,11.28313446,0,0,0,0,2/8/15 6:13
11,0,436,4568.717949,4023.076923,3863.589744,4331.282051,4422.051282,4385.641026,4313.846154,4439.487179,4568.717949,4101.538462,4261.025641,4024.615385,3880.512821,4167.692308,1665,1692,11.392,11.28313446,0,0,0,0,2/8/15 6:13
12,0,386,4568.717949,4033.333333,3864.102564,4338.974359,4437.435897,4399.487179,4313.846154,4445.128205,4567.692308,4113.846154,4265.128205,4010.769231,3884.615385,4155.384615,1665,1690,11.399,11.28313446,0,0,0,0,2/8/15 6:13
13,0,463,4583.589744,4036.923077,3874.871795,4337.948718,4477.435897,4405.128205,4313.846154,4440,4568.205128,4123.076923,4267.692308,3998.974359,3896.923077,4176.410256,1666,1691,11.408,11.40824127,0,0,0,0,2/8/15 6:13
14,0,441,4602.564103,4035.384615,3878.974359,4341.025641,4486.666667,4413.333333,4313.846154,4441.538462,4570.25641,4119.487179,4266.153846,4004.615385,3898.461538,4170.25641,1666,1689,11.416,11.40824127,0,0,0,0,2/8/15 6:13
15,0,436,4587.692308,4035.384615,3876.923077,4344.102564,4465.641026,4414.358974,4313.846154,4443.076923,4574.871795,4117.948718,4264.615385,4011.794872,3888.717949,4149.74359,1664,1690,11.424,11.40824127,0,0,0,0,2/8/15 6:13
16,0,0,4562.051282,4034.871795,3871.794872,4338.461538,4453.333333,4390.769231,4313.846154,4433.333333,4571.794872,4117.948718,4263.076923,3998.974359,3885.128205,4155.384615,1666,1689,11.432,11.40824127,0,0,0,0,2/8/15 6:13
17,0,0,4564.102564,4037.435897,3863.076923,4336.410256,4462.051282,4376.923077,4313.846154,4424.102564,4558.974359,4112.307692,4262.564103,3984.615385,3891.282051,4169.74359,1665,1690,11.438,11.40824127,0,0,0,0,2/8/15 6:13
18,0,0,4574.358974,4038.461538,3861.025641,4341.538462,4469.230769,4393.846154,4313.846154,4430.769231,4557.948718,4109.230769,4265.128205,3984.102564,3894.358974,4176.923077,1665,1691,11.446,11.40824127,0,0,0,0,2/8/15 6:13
19,0,0,4572.307692,4034.871795,3872.820513,4343.589744,4456.923077,4394.871795,4313.846154,4441.538462,4569.230769,4116.410256,4266.153846,3995.384615,3891.794872,4180,1664,1691,11.454,11.40824127,0,0,0,0,2/8/15 6:13
20,0,0,4571.794872,4035.384615,3883.589744,4340,4446.153846,4378.461538,4313.846154,4440.512821,4571.794872,4123.589744,4267.179487,4009.74359,3894.871795,4173.846154,1665,1692,11.462,11.40824127,0,0,0,0,2/8/15 6:13
21,0,0,4563.589744,4042.564103,3874.871795,4331.794872,4455.384615,4387.692308,4313.846154,4433.333333,4566.153846,4121.025641,4266.153846,4011.282051,3896.410256,4154.871795,1664,1692,11.471,11.40824127,0,0,0,0,2/8/15 6:13
22,0,0,4551.794872,4046.666667,3866.153846,4331.794872,4464.102564,4401.025641,4313.846154,4430.25641,4566.153846,4117.435897,4261.025641,4004.615385,3886.153846,4140,1664,1692,11.479,11.40824127,0,0,0,0,2/8/15 6:13
23,0,0,4550.769231,4043.589744,3874.871795,4342.051282,4457.435897,4389.230769,4313.846154,4429.230769,4568.717949,4121.538462,4262.051282,4008.205128,3883.076923,4142.564103,1665,1691,11.486,11.40824127,0,0,0,0,2/8/15 6:13
24,0,0,4551.794872,4040,3883.589744,4346.153846,4453.846154,4385.128205,4313.846154,4426.666667,4568.205128,4122.564103,4267.179487,4006.666667,3893.846154,4151.282051,1664,1692,11.494,11.40824127,0,0,0,0,2/8/15 6:13
25,0,0,4559.487179,4035.897436,3879.487179,4337.435897,4467.179487,4388.717949,4313.846154,4426.153846,4572.307692,4120,4265.128205,3990.25641,3899.487179,4140.512821,1664,1690,11.501,11.40824127,0,0,0,0,2/8/15 6:13
26,0,0,4570.769231,4035.897436,3877.948718,4330.25641,4481.025641,4381.025641,4313.846154,4427.179487,4569.230769,4123.076923,4263.589744,3985.641026,3894.871795,4127.179487,1663,1691,11.509,11.40824127,0,0,0,0,2/8/15 6:13
27,0,0,4576.923077,4044.615385,3876.923077,4336.923077,4475.897436,4383.076923,4313.846154,4424.102564,4556.410256,4121.025641,4268.717949,3990.25641,3893.333333,4152.820513,1665,1690,11.517,11.40824127,0,0,0,0,2/8/15 6:13
